药材名称,药材类别,药材基原,药材别名,性味归经,功能主治
豹皮菇,中药,为白蘑科真菌洁丽香菇的子实体。Lentinus lepideus Fr.[Agaricus lepideus Fr.]。夏、秋季采收，晒干。,豹皮香菇;白香菇,甘；平。归心；脾经,补气血；益心肝。主气血不足；心脾两虚；疲乏无力；失眠心悸
豹皮樟,中药,为樟科植物豹皮樟的根及茎皮。Litsea coreana Lévl.var. sinensis (Allen) Yang et P. H.Huang[Actinodaphne lancifolia(Sieb.et Zucc.)Meissn.var.sinensis Allen]。全年均可采，洗净，晒干。,扬子木姜子;剥皮枫;花壳柴,辛；苦；温。归胃；脾经,温中止痛；理气行水。主胃脘胀痛；水肿
苞蔷薇根,中药,为蔷薇科植物硕苞蔷薇的根。Rosa bracteaea Wendl。全年均可采，挖根，洗净，鲜用或晒干。,猴局根;金柿根;大红袍;毛刺头;,甘、苦、涩；温。归脾；肾经,益脾补肾，敛肺涩肠，止汗，活血调经，祛风湿，散结解毒。主腰膝酸软，水肿，脚气，遗精，盗汗，阴挺，久泻，脱肛，咳嗽气喘，胃脘痛，疝气，风湿痹痛，月经不调，闭经，带下，瘰疬，肠痈，烫伤
鸨肉,中药,为鸨科动物大鸨的肉。,原动物大鸨又名：独豹;鸨;地鵏,味甘；性平。归胃经,益气补虚；祛风蠲痹。主身体虚弱，风湿痹证
豹肉,中药,为猫科动物金钱豹、云豹、雪豹的肉。,参考原文,味甘；酸；性温。归肝；肾；胆经,补五脏；益气血；强筋骨。主气虚体弱；筋骨痿软；胆怯神衰
抱树莲,中药,为水龙骨科植物抱树莲的全草。Drymoglossum piloselloides(L.) Presl[Pteris piloselloides L.]。全年均可采收，洗净，晒干或鲜用。,巧根藤;飞连草;抱石莲;猫龙草;瓜子菜;飞蓬草,甘；淡；微凉。归肝；肺经,清热解毒；消肿散结；止血。主湿热黄疸；目赤肿痛；化脓性中耳炎；腮腺炎；淋巴结炎；疥癞；跌打损伤
薄雪草,中药,为菊科植物薄雪火绒草的花。Leontopodium japonicum Miq。秋季采收，洗净，晾干。,小毛香;火绒草;小白头翁;小毛草,味淡；微甘；性平。,润肺止咳。主肺燥咳嗽
豹药藤,中药,为萝藦科植物豹药藤的根。Cynanchum decipiens Schneid。夏、秋季随采随用。,四川白前;西川鹅绒藤,有毒。归肝经,祛风；杀虫；止痒。主疥癣
薄叶黄芩,中药,为唇形科植物薄叶黄芩的根。Scutellaria regeliana Nakai var.ikonnikovii(Juz.)G.Y.Wu et H.W.Li[S.ikonnikovii Juz.]。春、夏季采收，除去须根、茎苗及泥土，洗净，晒干。,参考原文,味苦；性凉。,清热解毒。主牙龈肿痛；痈疮产疖肿
薄叶卷柏,中药,为卷柏科植物薄叶卷柏的全草。Selaginella delicatula（Desv.）Alston［S.pouzolziana（Gaud.）Spring］。全年均可采收，鲜用或晒干。,山柏枝;山扁柏;地柏;岩卷柏;地柏桠;石上柏;四叶柏;独立金鸡,苦；辛；寒。,清热解毒；活血；祛风。主肺热咳嗽或咯血；肺痈；急性扁桃体炎；乳腺炎；眼结合膜炎；漆疮；烫火伤；月经不调；跌打损伤；小儿惊风；麻疹；荨麻疹
爆仗竹,中药,为玄参科植物爆仗竹的地上部分。Russelia equisetiformis Schlecht. Et Cham。夏季采收，鲜用或晒干。,吉祥草;马鬃花;观音柳;花丁子;马骔花,味甘；性平。,续筋接骨；活血被动瘀。主跌仆闪矬；刀伤金疮，骨折筋伤
薄柱草,中药,为茜草科植物薄柱草的全草。Nertera sinensis HemsL。秋季采收全草，洗净，鲜用或晒干。,水泽兰;冷水草,苦；凉。,清热解毒。主烧伤；烫伤；感冒咳嗽
豹子眼睛果,中药,为紫金牛科植物纽子果的根。Ardisia virens Kurz。全年均可采，洗净，切段，晒干。,大罗伞;山豆根,苦；辛；性凉。,清热解毒；散瘀止痛。主感冒发热；咽喉肿痛；牙痛口糜；风湿热痹；胃痛；小儿疳积；跌打肿痛
菝葜叶,中药,为百合科植物菝葜的叶。Smilax china L。夏、秋季采收，鲜用或晒干。,参考原文,甘；性平。,祛风；利湿；解毒。主风肿；疮疖；肿毒；臁疮；烧烫伤；蜈蚣咬伤
霸王鞭,中药,为大戟科植物霸王鞭的全株。Euphorbia royleana Boiss。随采随用。,刺金刚。,苦涩；平；有毒。归心；脾经,祛风解毒；杀虫止痒。主疮疡肿毒；牛皮癣
霸王根,中药,为蒺藜科植物霸王的根。Zygophyllum xanthoxylum (Bunge)Maxim。春、秋季采挖，切段，洗净，晒干。,参考原文,味辛；性温。归胃经,行气宽中。主气滞腹胀
霸王七,中药,为凤仙花科植物野凤仙花ImpatienstextoriMiq.的块茎。Impatiens textori Miq。夏、秋季采挖，洗净鲜用或晒干。,万年巴;成年（火巴）。,辛；苦；性微寒。归肝经,活血解毒。主跌打损伤；瘀肿疼痛；腹痛；痈肿疮毒；毒蛇咬伤
八仙草,中药,为茜草科植物拉拉藤或粗叶拉拉藤的全草。Galium aparine L.， Galium asperlium Wall。秋季采收，鲜用或晒干。,小锯藤;锯子草;小茜草;小飞扬藤;红丝线;血见愁;细茜草;拉拉藤;小舒筋;,味辛；微苦；性微寒。归少阴；太阴经,清热解毒；利尿通淋；消肿止痛。主痈疽肿毒；乳腺炎；阑尾炎；水肿；感冒发热；痢疾；尿路感染；尿血；牙龈出血；刀伤出血
八仙过海,中药,为天南星科植物八仙过生活费的全草。Cryptocoryne yunnanensis H. Li。夏、秋季采收，洗净，切碎晒干。,参考原文,味辛；性温；有毒。归肺；肝；胃；大肠经,舒筋活络，祛风除湿；截疟。主跌打损伤；风湿痹痛；四技麻木；腰膝痿软；急性胃肠炎；疟疾
鲃鱼,中药,为鲤科动物的倒刺鲃之肉。Bardodes denticulatus denticulatus (Oshima)。常年均可捕捞，捕后，除去鳞片及内脏，洗净，鲜用。,青竹;青鱼;竹鲃;青竹鲤;青鲋鲤,味甘；性热；小毒。,补肾阳；壮腰膝。主肾虚阳萎；腰膝酸软
八月瓜,中药;苗药,为木通科植物五风藤、宽叶八月瓜和小花八月瓜的果实。1.HolboelliafargesiiReaub.2.Holboellia latifolia Wall.3.Holboellia parviflora(Hemsl.)Gagnep。秋季果熟时采摘，晒干。,牛腰子果;六月瓜;小八瓜;哪瓜;黄狗肾;木王瓜;八月果;野人瓜;刺藤果;牛懒袋果;jabdongxbat加董罢（贵州黔东南）;zenddamgxdangx真格党（贵州黔东南）;zendgitpat正格怕（贵州黔南）木通;八月扎;比干炸（苗药名）,苦；凉。归膀胱；心；肝经,清热利湿；活血通脉；行气止痛。主小便短赤；淋浊；水肿；风湿痹痛；跌打损伤；乳汁不通；疝气痛；子宫脱垂；睾丸炎
八月札,中药,为木通科植物木通Akebiaquinata(Thunb.)Decne、三叶木通A.trifoliata(Thunb.)Koidz.var.australis(Dies).Rehd.的成熟果实。1.Akebia quinata (Thunb.)Decne.2.Akebia trifoliata (Thunb.)Koidz.［Clematistrifoliata Thunb.］3.Akebia tri,畜葍子;拿子;桴棪子;覆子;八月楂;木通子;压惊子;八月瓜;预知子;八月炸;八月果;百日瓜;牵藤瓜;冷饭包;拉拉果;野香交;羊开口;腊瓜。,昧微苦，性平。归肝、胃、膀胱经。归肝；胃经,疏肝和胃，活血止痛，软坚散结，利小便。主肝胃气滞，脘腹、胁助胀痛，饮食不消，下痢便泄，疝气疼痛，腰痛，经闭痛经，瘿瘤瘰疬，恶性肿瘤。
巴掌草,中药,为兰科植物同色兜兰的全草。Paphiopedilum concolor（Parish ex Batem）Pfitz.[Cypripedium concolor Parish et Batem.]。夏、秋季采收，鲜用或晒干。,红草鞋;狮子利;狮子尾;狗舌草,味苦；酸；性平。,清热解毒；散瘀消肿。主疔疮肿毒；毒蛇咬伤；脾肿大；肺结核咳血；跌打损伤
北方点地梅,中药,为报春花科植物北点地梅的带根全草。Androsace septentrionaiisL。夏、秋季连根拔起，洗净，晒干。,雪山点地梅;喉咙草,苦；辛；性微寒。,清热解毒；消肿止痛。主风火赤眼；咽喉红肿；疮疡肿痛
北风草,中药,为唇形科植物白绒草的全草。Leucas mollissima Wall。夏、秋季采收，晒干或鲜用。,毛绣球防风;银针七;灯笼草;楼台夏枯草;白风轮菜;白花仔;白菜匙;糖鸡草;野芝麻;猫 耳朵草;节节花;老虎花;白 骨九苏;白花茶匙红;白花塔仔草;金线薄荷;白花草;鼠尾癀,味苦；微辛；性平。,清肺；明目；解毒。主肺热咳嗽；胸痛；咽喉肿痛；目赤青盲；乳痈；湿疹；跌打损伤
背花疮,中药,为荨麻科植物盾叶冷水花的全草。Pilea peltata Hance。夏季采收，鲜用或晒干。,独色草;四季青;大石芥;铜钱草;石苋菜;阿飞虻,辛；淡；性凉。,清热解毒；祛痰化瘀。主肺热咳喘；肺痨久咳；咯血；疮疡肿毒；跌打损伤；外伤出血；疳积
贝母兰,中药,为兰科植物伞房贝母兰的假鳞茎或全草。Coelogyne corymbosa Lindl.[C.punctulata Lindl.]。全年均可采收，洗净，蒸后晒干或鲜用。,石巴蕉;对叶果;果上叶;止血果;小绿芨,辛；甘；凉。归肺；肾经,清热止咳；止血定痛。主支气管炎；感冒；骨折；软组织挫伤；外伤出血
北丝石竹,中药,为石竹科植物草原石头花的根。Gypsophila davurica Turcz.ex Fenzl。立秋至秋分之间，将根挖出，去掉根茎，剪去须根，洗净晒干。,商陆;银柴胡,苦；性微寒。归膀胱经,利尿逐水。主水肿；小便不利
杯苋,中药,为苋科植物杯苋的地上部分。Cyathula prostrata（L．） Bl．［Achyranthesprostrata L.」。夏季植株生长盛期采收，除去泥土，鲜用或晒干用。,蛇见怕;镜面草;蛇惊慌;细叶蛇总管;拔子弹草;小马鞭草;细样倒扣草,苦;性凉。,清热解毒;活血散瘀。主痈疮肿毒;毒蛇咬伤；跌打瘀肿
杯苋根,中药,为苋科植物杯苋的根。,参考原文,苦；性凉。,清肠利湿。主痢疾
北鱼黄草,中药,为旋花科植物北鱼黄草的全草。Merremia sibirica (L. ) Hall. F.- Ipomoea sibirica (L.) Bess。夏季采收，洗净，鲜用或晒干。,钻之灵;小瓠花,辛苦；寒。归脾；肾经,活血解毒。主劳伤疼痛；疔疮
崩疮药,中药,为野牡丹科植物柏拉木的根、叶。Blastus cochinchinensis Lour。秋、冬季挖取根部，洗净，切片，晒干，秋季采叶，鲜用或晒干研粉备用。,山暗册;山崩砂;黄京木;山暗赤;黄金稍;白筋;白暗赤;白泡;山阴木;四大天王;山甜娘。,味苦；涩；性凉。,收敛止血；清热解毒。主产后流血不止；月经过多；肠炎；腹泻；风湿骨痛；肝硬化；疮疡肿毒；烫火伤；跌打肿痛；外伤出血；湿疹；疥癞
扁担蒿,中药,为十字花科植物垂果南芥和粉绿垂果南芥的果实。1.Arabis pendula L.2.Arabis pendula L.var.hypoglauca Franch。秋季采收，晒干。,参考原文,辛；平。,清热解毒；消肿。主疮疡肿毒；阴道炎；阴道滴虫
鞭打绣球,中药,为玄参科植物鞭打绣球的全草。HemiphragmaheterophyllumWall.采收和储藏：夏、秋季采收，切段晒干或鲜用。Hemiphragma heterophyllum Wall。夏、秋季采收，切段晒干或鲜用。,红顶珠;地红参;活血丹;四季草;小铜锤;金线草;月月换叶;连线草;地草果;红豆草;头顶一颗球;地胡椒;滚山珠;四季青;一串钱;小红豆,味微甘；淡；性温。归心；肝经,祛风除湿；清热解毒；活血止痛。主风湿痹痛；经闭腹痛；瘰疬；疮肿湿毒；咽痛；齿龈肿痛；跌打损伤
遍地金,中药,为藤黄科植物遍地金、挺茎遍地金的全草。1.Hypericum wightianum Wall.ex Wight et Arn.［H.delavayi R.eller］2.Hypericum elodeoides Choisy［H.napaulense Choisy］。夏季采收，洗净，晒干。,小化血;小化药;蚂蚁草;小黄花香;田基黄;痧子草;青鱼胆;肝炎草;地耳草;对叶草;千锤散;大田基黄;蚁药;苍蝇草;毒蛇草。,寒；苦；涩。归大肠经,清热解毒；止泻。主小儿白口疮；小儿肺炎；口腔炎；乳痛；黄水疮；毒蛇咬伤；腹泻；久痢
变豆菜,中药,为伞形科植物变豆菜的全草。Sanicula chinensis Bunge。夏、秋季采收，鲜用或晒干。,山芹菜;山芹;五指疳;鸭脚板;蓝布正,味辛；微甘；性凉。,解毒；止血。主咽痛；咳嗽；月经过多；尿血；外伤出血；疮痈肿毒
扁豆根,中药,为豆科植物扁豆的根。Dolichos lablab L。秋季采收，洗净，晒干。,参考原文,苦；涩；平。归大肠；膀胱经,消暑，化湿，止血。主暑湿泄泻，痢疾，淋浊，带下，便血，痔疮，漏管
扁豆藤,中药,为豆科植物扁豆的茎藤。Dolichos lablab L。秋季采收，晒干。,参考原文,甘；微温；平。归心；大肠经,化湿和中。主暑湿吐泻不止
扁豆叶,中药,为豆科植物扁豆的叶。Dolichos lablab L。秋季采收，鲜用或晒干。,参考原文,辛甘甜；平；有小毒。归脾；胃；心经,消暑利湿，解毒消肿。主暑湿吐泻，疮疖肿毒，蛇虫蛟伤
扁豆衣,中药,为豆科植物扁豆的种皮。Dolichos lablab L。秋季采收种子，剥取种皮，晒干。,扁豆皮,甘苦；温。归脾；大肠经,消暑化湿，健脾和胃。主暑湿内蕴，呕吐泄泻，胸闷纳呆，脚气浮肿，妇女带下
蝙蝠,中药,为蝙蝠科动物蝙蝠、大管鼻蝠、普通伏翼、大耳蝠、华南棕蝠和蹄蝠科动物大刀蹄蝠及菊头蝠科动物马铁菊头蝠等的干燥全体。1.Vespertilio superans Thomas2.Murina leucogaster Milne-Edwards3.Pipistrellus abramus Temminck4.Plecotus auritus Linnaeus5.Eptesicus andersoni(D,服翼;天鼠;伏翼;飞鼠;老鼠;仙鼠;夜燕;盐老鼠,味咸；性平。归肝经,止咳平喘；利水通淋；平肝明目；解毒。主咳嗽；喘息；淋证；带下目昏；目翳；瘰疬
蝙蝠葛叶,中药,为防己科植物蝙蝠葛MenispermumdauricumDC.的叶。Menispermum dauricum DC。夏、秋季采收，鲜用或晒干。,参考原文,,散结消肿；祛风止痛。主瘰疬；风湿痹痛
蝙蝠藤,中药,为防己科植物蝙蝠葛MenispermumdauricumDC.的藤茎。Menispermum dauricum DC。秋季采割，去枝叶，洗净，切段，晒干。,狗葡萄秧;小葛香;杨柳子棵;防己藤;黄攸香;什子苗;小青藤;黄根藤;金百脚;山地瓜秧;爬山秧子。,苦；寒。归肝；肺；肠经,清热解毒；消肿止痛。主腰痛；瘰疬；咽喉肿痛；腹泻痢疾；痔疮肿痛
扁秆藨草,中药,为莎草科植物扁秆藨草的块茎。Scirpus planiculmis Fr. Schmidt。夏、秋季采收，除去茎叶及根茎，洗净，晒干。,水莎草;三棱草,味苦；性平。归肺；胃；肝经,祛瘀通经；行气消积。主经闭；痛经；产后瘀阻腹痛；症瘕积聚；胸腹胁痛；消化不良
扁果,中药,为漆树科植物三叶漆的树皮、果实。Terminthia peniculata（Wall.exG.Don）C.Y.Wu et T.L.Ming［Rhus peniculata Wall.ex G.Don］。树皮全年均可采，剥取树皮，晒干；果实成熟时采收，晒干。,野荔枝。,皮：味苦、涩；凉。,清热解毒；收敛；止血。主咽喉肿痛；吐血；痢疾
扁蕾,中药;蒙药,为龙胆科植物扁蕾的全草。Gentianopsis barbata （Froel.）Ma[Gen－tiana barbata Froel.;Gentianopsis barbata （Froel.）Ma var．Sinensis Ma］。春、夏季采收，洗净，晾干。,乌苏图-特木日-地格达;札格地格那赫布;哈日-特木日-地格达（蒙药名）,苦;性寒。归心；肝经,清热解毒;消肿止痛。主外感发热;肝炎；胆囊炎；头痛目赤；外伤肿痛；疮疖肿毒
变色红菇,中药,为红菇科真菌全缘红菇的子实体。Russula integra (L.)Fr.[Agaricus integra L.]。夏、秋季采摘，洗去泥土，晒干，备用。,蘑菇,辛；微咸；性平。,祛风散寒；舒筋活络。主风湿痹痛；手足麻木；四肢抽搐
遍山红,中药,为野牡丹科植物尖子木的全株或根。Oxyspora paniculata DC.[Arhtrostemma paniculatum D. Don]。夏、秋季采收全株，根全年可采挖，均洗净，鲜用或切片晒干。,暴牙郎;秤杆菜;大坛子根;大叶朝天罐;酒瓶果;小煨罐;野楷杷;满山红;三叶藤;映山红;秤杆树,味苦；微甘；性凉。归大肠；肝经,清热利湿；凉血止血；消肿解毒。主湿热泻痢；吐血；尿血；月经过多；产后红崩；带下；疮肿；跌打肿痛；外伤出血
扁藤,中药,为葡萄科植物扁担藤的根或藤茎。Tetrastigma planicaule (Hook.f.)Gagnep.[Vitis planicaule Hook.f.]。藤茎及根于秋、冬季采挖，洗净，切片，鲜用或晒干。,腰带藤;羊带风;扁骨风;铁带藤;大芦藤;过江扁龙;脚白藤;大血藤;岩五加。,辛；酸；平。归心；肝经,祛风化湿；舒筋活络。主风湿痹痛；腰肌劳损；中风偏瘫；跌打损伤
扁藤叶,中药,为葡萄科植物扁担藤Tetrastigmaplanicaule(Hook.f.)Gagnep.的叶。Tetrastigma planicaule (Hook.f.)Gagnep.[Vitis planicaule Hook.f.]。夏、秋季采摘，多鲜用。,参考原文,酸；涩；平。归肝经,生肌敛疮。主下肢溃疡；外伤
鞭叶耳蕨,中药,为鳞毛蕨科植物鞭叶耳蕨的全草。Polystichum craspedosorum (Maxim.)Diels[Aspidium craspedosorum Maxim.]。全年均可采收。,参考原文,苦；寒。归入心、肝、大肠三经,清热解毒。主乳痈；疖肿；肠炎
